cluster,n_chunks,top_terms,claude_opus_label,claude_opus_macro,claude_opus_conf,claude_sonnet_label,claude_sonnet_macro,claude_sonnet_conf,gpt5_mini_label,gpt5_mini_macro,gpt5_mini_conf,gpt5_nano_label,gpt5_nano_macro,gpt5_nano_conf,consensus_macro_theme,macro_agreement,mean_label_similarity,combined_confidence,n_models_succeeded,human_approved_label,human_approved_macro_theme,human_notes
10,10,"nightshade, glaze, yeah, tools, rachel",Artist Defense Tools Against AI,Practice & Pedagogy,0.85,Artist Protection Tools Against AI Training,Governance & Rights,0.9,Artist anti-AI tools,Governance & Rights,0.86,Artists vs. AI image cloaking tools,Governance & Rights,0.72,Governance & Rights,0.75,0.2896164021164021,0.46970247395833337,4,,,
11,116,chung,AI Authorship and Creative Agency,Philosophy of Creativity,0.9,AI Creativity and Human-Machine Authorship,Philosophy of Creativity,0.92,AI and Artistic Authorship,Philosophy of Creativity,0.91,Authorship in AI Art,Philosophy of Creativity,0.68,Philosophy of Creativity,1.0,0.3888888888888889,0.5920138888888888,4,,,
12,18,"ai, effective, altruism, media, humanity",Media Coverage and AI Panic,Other: Media Discourse & Public Perception,0.9,Media Coverage and AI Existential Panic,Other: Public Discourse & Media Framing,0.92,Media framing of AI panic,"Other: Media discourse and risk narratives (focus on framing, sensationalism, and public perception rather than technical or legal specifics)",0.87,Media framing of AI panic,Governance & Rights,0.72,Other: Media Discourse & Public Perception,0.25,0.5734126984126985,0.419166976686508,4,,,
13,237,"ai, art, artists, image, human",AI Art Authenticity and Human Creativity,Philosophy of Creativity,0.85,Human vs AI Art Distinction,Philosophy of Creativity,0.9,Authorship and Creativity in AI Art,Philosophy of Creativity,0.9,AI Art Authorship and Aesthetics,Philosophy of Creativity,0.75,Philosophy of Creativity,1.0,0.38227513227513227,0.5874669312169313,4,,,
14,132,"gonna, students, maybe, adobe, firefly",Informal AI Creative Tool Discourse,Practice & Pedagogy,0.85,Informal Conversations About AI Creative Tools,Practice & Pedagogy,0.85,AI tools in creative workflows,Practice & Pedagogy,0.92,"AI in art: tools, jobs, and copyright",Governance & Rights,0.62,Practice & Pedagogy,0.75,0.22904040404040402,0.43554119318181816,4,,,
15,91,"mordvintsev, neural, deep, deep dream, dream",Deep Dream and Neural Network Visualization,Technical Genealogy,0.9,Google Deep Dream Neural Network Visualization,Technical Genealogy,0.95,DeepDream and neural image generation,Technical Genealogy,0.89,Deep Dream and Creative Neural Nets,Technical Genealogy,0.78,Technical Genealogy,1.0,0.3486772486772487,0.5934179894179895,4,,,
16,165,"know, art, really, yeah, artists",Artist Reflections on Technology,Practice & Pedagogy,0.85,Conversational Discussions on Art Technology Intersection,Practice & Pedagogy,0.85,"Artists, Technology, and Markets","Institutions & Markets — industry economics, platform dynamics, market impact",0.88,"AI Art, Technology, and Market Dynamics",Institutions & Markets,0.78,Practice & Pedagogy,0.5,0.08333333333333333,0.34125,4,,,
17,120,"fi, prompts",Artist-Centered AI Design & Ethics,Philosophy of Creativity,0.85,Artist-Centered AI Design and Values,Philosophy of Creativity,0.85,AI and Artistic Creativity,Philosophy of Creativity,0.85,Artist-centered AI and Creativity,Philosophy of Creativity,0.72,Philosophy of Creativity,1.0,0.37083333333333335,0.560328125,4,,,
18,53,"midjourney, allen, mr",AI Art Authorship and Copyright Debates,Governance & Rights,0.85,AI Art Copyright and Human Authorship Debates,Governance & Rights,0.92,AI-generated art & copyright,Governance & Rights,0.92,AI-generated art and copyright,Governance & Rights,0.82,Governance & Rights,1.0,0.455489417989418,0.6385959821428571,4,,,
19,43,"ai art, generative, generative art, barrat, computer art",Generative Art History and Pioneers,Technical Genealogy,0.85,Generative Art History and Definition,Technical Genealogy,0.85,Generative Art History & Practice,Practice & Pedagogy,0.83,Generative AI Art and Artists,Philosophy of Creativity,0.66,Technical Genealogy,0.5,0.4384920634920635,0.43019903273809523,4,,,
