chunk_idx,article,word_count,flags,n_flags,text_preview
61,AI BECOMES AN ARTIST ｜ DEEP DREAM  HALLUCINATING ALGORITHM!.mp3,250,ad_pattern: subscribe\s+(now|today|to),1,"Have you ever thought that AI could dream? Hallucinate, much like humans. Look at these pictures that have been totally generated by AI. Hello everyone and welcome to this new video on Deep Dream. I'm"
89,AI Weekly Machine-made art does not mean the end of human creativity,250,boilerplate: image\s+credit,1,"and pads through an online subscription, is trying to deliver these products [...] Read the full story Nexar raises $30 million for AI dashcam app Nexar, a dashcam recording app that uses artificial i"
107,"AI and The Future of Art, Round 2, Sam Altman & Android Jones @ PlayAlchemist, Robot Heart Residency",250,boilerplate: built\s+with,1,myself through from from the experience with this fire is that i feel there's a lot of artists that are it's it's the creativity is amazing and i don't wanna be suspicious of any joy that anyone gets 
260,AiArt: Towards Artificial Intelligence Art,250,nav_pattern: most\s+popular,1,"art and computer graphics. In 1990, he created the first ""Interior Body Series"" art project based on 3D images. In 1993, he created Osmose (infiltration), which allows visitors to explore the mysterie"
270,"Alexander Mordvintsev, “deepdream.c,” 20152021 - Kanon Log - Medium",250,boilerplate: courtesy\s+of,1,"Alexander Mordvintsev, “deepdream.c,” 2015/2021 _View_ deepdream.c _in the K21 gallery_ _here_ → _Flatland_ tells of a three dimensional sphere raining down and through an infinitesimally thin world. "
271,"Alexander Mordvintsev, “deepdream.c,” 20152021 - Kanon Log - Medium",250,boilerplate: courtesy\s+of,1,"a convolutional neural net, a machine learning algorithm designed to perform image recognition. If this AI had a mind, Mordvinstev had learned to read it by turning it inside out. Mordvintsev’s patch "
272,"Alexander Mordvintsev, “deepdream.c,” 20152021 - Kanon Log - Medium",250,boilerplate: courtesy\s+of,1,and in music videos. Apps were written that let anyone initiate their own computational hallucination. The Internet was soon awash in what Steven Levy called a “Boschian bestiary of visions.” “Deep Dr
274,"Alexander Mordvintsev, “deepdream.c,” 20152021 - Kanon Log - Medium",250,boilerplate: courtesy\s+of,1,"computer science in university, I was told they were conceptually interesting but didn’t work. At Google, on the Safe Search team, I was working with neural nets that did. I thought I knew something a"
295,Art in the Age of Machine Learning,250,boilerplate: courtesy\s+of,1,brain tries to make sense of the robot’s neurotic behavior. Twenty minutes pass that feel like twenty hours. The vibrations of the E string feed through the guitar pickup and then to a set of distorti
306,Art made by AI is selling for thousands – is it any good?,250,boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,1,Art made by AI is selling for thousands – is it any good? 12 December 2018 Share Save Thomas Graham Features correspondent Creidt: Mario Klingemann After a piece of art ‘created’ by an AI sold for $43
307,Art made by AI is selling for thousands – is it any good?,250,boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,1,"mouth. The ‘brushstrokes’ seem pixellated. In the bottom right corner, the signature is the algorithm. So, is this how a machine ‘sees’ us? Perhaps, stripped of the biases of human perception, this is"
316,Art of AI Will AI art generators displace human creativity  MasterBorn We Build Your Software Better,250,nav_pattern: most\s+popular,1,that he created hundreds of images using various prompts and spent many weeks polishing his work before deciding to transfer it to canvas and enter it into the competition. If you want to get a closer
321,Art of AI Will AI art generators displace human creativity  MasterBorn We Build Your Software Better,250,ad_pattern: download\s+(the|our)\s+app,1,make AI systems secured Can we remedy this somehow? Companies developing AI image generators are constantly working to ensure the safety of users and resolve possible legal issues. One approach is to 
327,Art of AI Will AI art generators displace human creativity  MasterBorn We Build Your Software Better,250,ad_pattern: sign\s+up\s+(for|now|today),1,"free, after that you need to purchase one of the available plans. It is worth noting that while using the Discord bot, our prompts and their results are public and can be seen by other users. Key feat"
338,"Art, Technology, and the Future with Sterling Crispin",250,nav_pattern: newsletter,1,the neuroscience that went into the apple vision pro which has been of particular interest to me and a lot of people in the technology space and so we talked about how the proliferation of wearable fo
431,Beyond the Brush,249,boilerplate: ©\s*\d{4},1,"requir-ing them to generate creative responses to prompts, such as identifying novel and useful applications of common objects (e.g., the alternate uses task; Guilford, 1967). Hubert et al. found that"
433,Beyond the Brush,250,boilerplate: powered\s+by,1,"generates visual outputs that closely align with the user ’s description, effectively translating words into images. By combining human intention with AI ’s vast data set of visual knowledge, DALL-E 3"
541,Caroline Holden - How Artists Will Shape the Future of Tech,250,nav_pattern: newsletter,1,right so there is i think it's really really especially in film more so than a lot of other industries is something that people are really worried about yeah for sure do you have any i mean obviously 
542,Caroline Holden - How Artists Will Shape the Future of Tech,250,nav_pattern: newsletter,1,big ups and downs and then suddenly serena williams shows up in the second half it's great wow well yeah it looks so handy man another one is ranged by david epstein which is all about how generalists
551,"Conversations | Technology: Expanding, or erasing, the art world?",250,boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,1,images for example most recently so the like moma purchased riffic annandoll's work in two thousand and twenty two there's been a huge explosion in artworks made with tools such as midjourney and dall
619,Exhibition Review – AI More than Human at the Barbican from 16 May to 26 August 2019,247,nav_pattern: leave\s+a\s+comment,1,"CSAIL), Review - AI: More than Human at the Barbican, Sony Computer Science Laboratories, Wake Forest Institute for Regenerative Medicine, Wyss Institute and Emulate Inc., Yoichi Ochiai By londonvisit"
625,Further Speculation on Digital Arts Media's Future(s),250,ad_pattern: subscribe\s+(now|today|to),1,"I have written for newspapers, and I do still get a thrill when something I report wins a front-page spot in the _Wall Street Journal_, where I cover the art market. But we all know how archaic and fu"
754,Google’s AI can learn to play video games,250,nav_pattern: newsletter,1,Google’s AI can learn to play video games | The Verge Skip to main content The homepage Subscribe Sign In Tech Reviews Science Entertainment AI More The homepage Menu Navigation Drawer Login / Sign Up
759,Google’s AI can learn to play video games,250,nav_pattern: cookie\s+(policy|consent),1,we are able to offer. Click on the different category headings to find out more and change our default settings according to your preference. You cannot opt-out of our First Party Strictly Necessary C
790,How A.I. Is Creating Building Blocks to Reshape Music and Art,251,ad_pattern: advertisement,1,How A.I. Is Creating Building Blocks to Reshape Music and Art - The New York Times Skip to site index Search & Section Navigation Section Navigation SEARCH Art & Design Subscribe for $1/week Log in Tu
791,How A.I. Is Creating Building Blocks to Reshape Music and Art,250,ad_pattern: advertisement,1,"and music,” Mr. Eck said. It was a naïve ambition. Enrolling as a graduate student at Indiana University, in Bloomington, not far from where he grew up, he pitched the idea to Douglas Hofstadter, the "
793,How A.I. Is Creating Building Blocks to Reshape Music and Art,250,ad_pattern: advertisement,1,"Mexico, Mr. Eck combined Johnny Rotten and Johnny Cash. Now, he is building software that does much the same thing. Using neural networks, he and his team are crossbreeding sounds from very different "
795,How A.I. Is Creating Building Blocks to Reshape Music and Art,251,ad_pattern: advertisement,1,"analyzed their expressions in real time, guessing at their emotions. The tools are new, but the attitude is not. Allison Parrish, a New York University professor who builds software that generates poe"
813,How much AI is too much in art?,250,ad_pattern: advertisement,1,"A Christie’s auction in New York next week is blowing the art market wide open with the offer of 34 works by artists who haven’t just asked whether androids dream of electric sheep, they’ve voyaged in"
814,How much AI is too much in art?,250,ad_pattern: advertisement,1,"created and is not yet titled. Advertisement Reben’s work is being created in real-time at Christie’s in New York. Each time a $US100 bid is recorded for the work through the Christie’s portal, an AI "
834,How will AI impact Art? Interview with Artist Jah Reynolds,250,boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,1,"Do you think AI is going to take artist jobs? Why have you faced backlash for your use of AI? Is AI overhyped? Welcome everyone to Real Talk with Shutterstock. In our first conversation, we're tacklin"
844,How will AI impact Art? Interview with Artist Jah Reynolds,250,boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,1,"look like? So I'll say black man standing by a river, right? What is he wearing? Black man wearing street apparel, standing by a river. Where's this river? In Colorado. You just keep refining, and the"
845,How will AI impact Art? Interview with Artist Jah Reynolds,250,boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,1,models that allow you to do what you do. Shutterstock is forging the path towards equitable and responsible AI integration and compensating its artists. So we've launched the contributor fund really f
846,How will AI impact Art? Interview with Artist Jah Reynolds,250,boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,1,"others? Shutterstock's AI image generator is super intuitive. The models that are trained are just really, like, really, really strong models, really good. I think one of the things that caught my eye"
847,How will AI impact Art? Interview with Artist Jah Reynolds,250,boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,1,"images right. So I think opening up to different categories or maybe I think maybe that's model training, just having more artists come in and just having more models within the database would probabl"
850,How will AI impact Art? Interview with Artist Jah Reynolds,115,boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,1,artists and creators like yourself to get the actual real perspective of community is super valuable so thank you for being here can you tell us where we can find more about you and your art and where
851,I make millions from AI art — but the law has to be fair,250,boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,1,"I make millions from AI art — but the law has to be fair Refik Anadol supports the Make It Fair campaign to protect copyright law from the likes of Google, where he was an artist in residence Mark Sel"
867,I'm Losing My Art Job to AI...What I'm Doing About it.mp3,250,nav_pattern: newsletter,1,"a conveyor belt of painting. So far I have honed my craft, I have a distinctive style that I'm hired for but I do need to find my visual language as an artist, my voice as an artist. We need to try to"
870,Inside Deep Dreams How Google Made Its Computers Go Crazy,250,nav_pattern: newsletter,1,"the threshold of the Zurich apartment that he, his pregnant wife, and his 3-year-old son had been occupying for the past few months. They had moved to Switzerland from St. Petersburg that last Novembe"
871,Inside Deep Dreams How Google Made Its Computers Go Crazy,250,nav_pattern: most\s+popular,1,"power “deep learning,” the hottest and most promising development in artificial intelligence. He was tinkering with his own vision-recognition neural net, developed with open-source tools. A number of"
874,Inside Deep Dreams How Google Made Its Computers Go Crazy,250,nav_pattern: most\s+popular,1,"find templates for new images — at just the right time and in just the right measures. “It’s easy to write the code and tricky to find the right parameters,” says Mordvintsev. The actual chunk of comp"
876,Inside Deep Dreams How Google Made Its Computers Go Crazy,250,nav_pattern: most\s+popular,1,"interest of a few scientists in the global Google Research archipelago. But this time, he felt sufficiently confident to finally post some images, including the metastasized dog faces, on the internal"
877,Inside Deep Dreams How Google Made Its Computers Go Crazy,250,nav_pattern: most\s+popular,1,"with neural nets, and had predictably been intrigued by Mordvintsev’s original Tech Talk and blown away by his post. Most Popular “I had been very interested in these convolutional neural nets that wo"
879,Inside Deep Dreams How Google Made Its Computers Go Crazy,250,nav_pattern: most\s+popular,1,"target object and making that object appear, these neural nets were free-styling. It didn’t take long before Tyka was also getting amazing results from those initial submissions of noise: the neural n"
881,Inside Deep Dreams How Google Made Its Computers Go Crazy,250,nav_pattern: most\s+popular,1,seemingly out of nowhere. The trio published the item on Google’s public research blog on June 17. And the internet went nuts. Within a few days the images appeared in over 100 articles and countless 
882,Inside Deep Dreams How Google Made Its Computers Go Crazy,250,nav_pattern: most\s+popular,1,"series, but it seemed the most popular thing to do was to use Deep Dream as Beelzebub’s paint kit. AI message forums, tweets hash-tagged #deepdream, and Pinterest boards instantly presented a Boschian"
883,Inside Deep Dreams How Google Made Its Computers Go Crazy,250,nav_pattern: most\s+popular,1,“ a generative toolbox” to render images up to a superhuman higher fidelity. He calls it “creative AI.” But Deep Dreams has a significance far beyond questions of art. To understand why Mordvintsev’s 
886,Inside Deep Dreams How Google Made Its Computers Go Crazy,250,nav_pattern: most\s+popular,1,"a value in plumbing what is, essentially, an alternate means of perception. Take the earlier example that Chris Olah exposed with the NN regarding barbells as something with a human hand attached. Vie"
888,Inside Deep Dreams How Google Made Its Computers Go Crazy,250,nav_pattern: most\s+popular,1,"Scream_, Kandinsky’s _Composition VII_, or Van Gogh’s _Starry Night_, and then running photographs that match the actual content of the paintings through their system. The results uncannily resembled "
891,Inside Deep Dreams How Google Made Its Computers Go Crazy,115,nav_pattern: most\s+popular,1,on the same visual cues? Have both systems jimmied open identical doors of perception? How much can these networks teach us about ourselves? Raising questions like that is why Deep Dreams — even thoug
892,Inside Google’s First DeepDream Art Show,250,boilerplate: courtesy\s+of,1,"_Jorōgumo_, a piece created using a neural network, by Mike Tyka. Mike Tyka A two-day symposium and exhibit presented work at the intersection of artificial intelligence and art. _Archimedes’ Principl"
903,Inside the Race to Protect Artists from Artificial Intelligence,250,ad_pattern: subscribe\s+(now|today|to),1,"absolutely great point. I spoke with a professional illustrator, Mignon Zakuga, who’s been really enthusiastic about Glaze and Nightshade. She was involved in beta testing, and still uses both cloaks "
904,Inside the Race to Protect Artists from Artificial Intelligence,69,ad_pattern: subscribe\s+(now|today|to),1,is edited by Elah Feder and Alexa Lim. Our theme music was composed by Dominic Smith. Feltman: Don’t forget to subscribe to Science Quickly wherever you get your podcasts. For more in-depth science ne
917,Interview with AI Artist Chazz Gold  MakersPlace Editorial,108,nav_pattern: newsletter,1,"we couldn’t get the images we wanted. We’d constantly change profile pictures every five minutes. Claire has come a long way, and I’m super proud of her. She’s a smart cookie and an inspiration, espec"
930,Jeff Koons Won't Work with AI Anytime Soon,250,boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,1,"Jeff Koons Won't Work with AI Anytime Soon Jeff Koons Says He Won’t Work with AI Anytime Soon: ‘I’m Very Embedded at This Moment in Biology’ By Alex Greenberger January 2, 2025 2:26pm A judge agreed w"
954,Media has a blind spot when covering the AI panic,250,nav_pattern: newsletter,1,"with human values. Effective altruism donors have injected hundreds of millions of dollars into AI safety work through think tanks, research grants, scholarships, and, weirdly enough, luxurious resear"
999,My Thoughts on the future of ART and AI - Will Artists ever Become Obsolete ?,194,nav_pattern: comments?\s+section,1,AI banners. People know when it resonates with them. Artists know what resonates with people. And AI and artists will coexist. And I think that the masters of the future will be those who can offer so
1001,New collaboration sparks global connections to art through artificial intelligence,250,boilerplate: built\s+with,1,"museum’s collection through digital media: “We’re continuing to think differently about how a museum works, in this case how we leverage powerful technologies such as artificial intelligence. This col"
1009,Opinion  A Creator (Me) Made a Masterpiece With A.I.,250,boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,1,"Opinion | A Creator (Me) Made a Masterpiece With A.I. - The New York Times Saturday, March 29, 2025 Farhad Manjoo A Creator (Me) Made a Masterpiece With A.I. Aug. 25, 2023 Credit...Caroline Brehman/EP"
1014,Perspectives from the artists collaborating on our early music experiments,224,nav_pattern: newsletter,1,think this experiment is an amazing ground breaking opportunity for all artists and creators. I am more than honored to be included. I strongly believe A I has a significant place in the future of mus
1023,Pixels and Principles： Ethics of AI Art ｜ Melody Liu ｜ TEDxNortheasternU.mp3,250,boilerplate: (getty|shutterstock|unsplash|istock)\s*(images)?,1,"for example, costs about $100 to $1,000 a year, depending on which plan you get. Unfortunately, the artists that were used to train the AI see none of this money, even if their artwork was copyrighted"
1064,Review of machine  deep learning in an artistic context,250,nav_pattern: most\s+popular,1,"learning algorithm tries to learn. _Training_ the model consists of specifying an _Objective function_ (also known as _Loss, Cost_ or _Energy_ function) and the learning algorithm tries to find the _s"
