cluster,n_chunks,top_terms,claude_opus_label,claude_opus_macro,claude_opus_conf,claude_opus_desc,claude_sonnet_label,claude_sonnet_macro,claude_sonnet_conf,claude_sonnet_desc,gpt5_mini_label,gpt5_mini_macro,gpt5_mini_conf,gpt5_mini_desc,gpt5_nano_label,gpt5_nano_macro,gpt5_nano_conf,gpt5_nano_desc,consensus_macro_theme,macro_agreement,mean_label_similarity,mean_model_confidence,n_models_succeeded,combined_confidence
10,10,"nightshade, glaze, yeah, tools, rachel",Artist Defense Tools Against AI,Practice & Pedagogy,0.85,Discussion of protective software tools like Glaze and Nightshade that artists can use to prevent AI models from copying their artistic style and to defend their work from unauthorized AI training.,Artist Protection Tools Against AI Training,Governance & Rights,0.9,This cluster focuses on defensive technologies like Glaze and Nightshade that artists can use to protect their work from being used to train AI models. The discussion centers on these tools as a form of digital self-defense that helps rebalance power between artists and AI developers.,Artist anti-AI tools,Governance & Rights,0.86,Discussion of Glaze and Nightshade — algorithmic ‘cloaking’ tools artists use to corrupt or mislead image‑generation models as a form of self‑defense against style theft and automated training on their work. The texts focus on how these technical countermeasures aim to rebalance power between artists and AI developers and the limits of those defenses.,Artists vs. AI image cloaking tools,Governance & Rights,0.72,"Discusses Glaze and Nightshade cloaking tools designed to protect artist styles from AI image synthesis, and the broader rights-based debate over training data, originality, and creator protections.",Governance & Rights,0.75,0.2896164021164021,0.8325,4,0.4697024739583333
11,116,chung,AI Authorship and Creative Agency,Philosophy of Creativity,0.9,"Explores fundamental questions about whether AI can truly create art, who should be credited as the author when AI generates artwork, and the nature of machine versus human creativity. Discusses the philosophical and practical implications of AI-generated art's authenticity and creative legitimacy.",AI Creativity and Human-Machine Authorship,Philosophy of Creativity,0.92,"This cluster explores fundamental questions about whether AI can truly create art and who should be considered the author when machines generate artistic works. It focuses on debates around algorithmic creativity, the distinction between human and machine-generated art, and the philosophical implications of AI's role in the creative process.",AI and Artistic Authorship,Philosophy of Creativity,0.91,"Explores whether AI-generated images and systems can be considered true art, focusing on creativity, originality, and who should be credited as the author—the machine, its programmers, or human collaborators. Includes debates and examples (e.g., DeepDream, Belamy portrait) that contrast human and machine roles in artistic creation.",Authorship in AI Art,Philosophy of Creativity,0.68,"Investigates authorship, originality, and ownership in AI-generated art, addressing whether the algorithm or the human collaborators is the true 'artist' and how rights are attributed.",Philosophy of Creativity,1.0,0.3888888888888889,0.8525,4,0.5920138888888888
12,18,"ai, effective, altruism, media, humanity",Media Coverage and AI Panic,Other: Media Discourse & Public Perception,0.9,"This cluster focuses on how media coverage shapes public discourse about AI, particularly examining the prevalence of dystopian narratives, panic-inducing headlines, and the blind spots in journalistic framing of AI technologies. It critiques the media's tendency to amplify existential risk narratives while potentially overlooking more nuanced perspectives on AI development.",Media Coverage and AI Existential Panic,Other: Public Discourse & Media Framing,0.92,"This cluster focuses on how media and public discourse frame AI as an existential threat to humanity, examining the role of journalism in creating AI panic and dystopian narratives. It analyzes the blind spots in media coverage and how sci-fi conditioning influences public perception of AI risks.",Media framing of AI panic,"Other: Media discourse and risk narratives (focus on framing, sensationalism, and public perception rather than technical or legal specifics)",0.87,"Texts critiquing how journalists and popular media sensationalize AI risks, emphasizing dystopian headlines, ‘AI panic’, and blind spots in coverage that skew public understanding. The cluster examines narratives about existential threats, mythic robot tropes, and how alarmist framing shapes policy and public discourse.",Media framing of AI panic,Governance & Rights,0.72,"Examines how news, podcasts, and academic discourse frame AI-related fear and public understanding, highlighting media blind spots, sensational dystopian headlines, and the governance and ethical questions that accompany AI development.",Institutions & Markets,0.25,0.5734126984126985,0.8525,4,0.419166976686508
13,237,"ai, art, artists, image, human",AI Art Authenticity and Human Creativity,Philosophy of Creativity,0.85,"Discussions about what constitutes 'real' art in the AI age, focusing on the distinction between human-made and AI-generated art, and concerns about losing the transformative human experience of art-making. The cluster explores whether AI-generated outputs qualify as art and how human artists can maintain their unique value.",Human vs AI Art Distinction,Philosophy of Creativity,0.9,"Discussions about what distinguishes human-made art from AI-generated art, focusing on the creative process, the act of making, and whether AI art qualifies as genuine artistic expression. The cluster explores fundamental questions about the nature of art and creativity in the age of automation.",Authorship and Creativity in AI Art,Philosophy of Creativity,0.9,"Discussions about whether AI-generated images qualify as art, who counts as the artist, and the importance of human craft and creative process versus automated outputs; includes how artists use, resist, or adapt to AI tools.",AI Art Authorship and Aesthetics,Philosophy of Creativity,0.75,"A cluster examining whether AI-generated outputs constitute art, the nature of authorship, and the tension between human creativity and machine-driven aesthetics across media.",Philosophy of Creativity,1.0,0.3822751322751322,0.85,4,0.5874669312169313
14,132,"gonna, students, maybe, adobe, firefly",Informal AI Creative Tool Discourse,Practice & Pedagogy,0.85,"Conversational discussions about AI creative tools like Adobe Firefly, focusing on practical experiences, student perspectives, and evolving workflows in creative work. The informal register suggests podcast/panel content rather than formal analysis.",Informal Conversations About AI Creative Tools,Practice & Pedagogy,0.85,"This cluster captures casual, conversational discussions about AI tools and their impact on creative work, featuring informal language and personal perspectives from practitioners, educators, and students. The content includes spontaneous reactions to AI developments and practical experiences with tools like Adobe Firefly.",AI tools in creative workflows,Practice & Pedagogy,0.92,"Conversational pieces (podcasts, panels, docs) about how generative AI tools—e.g., Adobe Firefly, ChatGPT, Stable Diffusion—are being integrated into art and design practice, affecting students, job roles, iteration speed, and the skills needed to use these tools effectively.","AI in art: tools, jobs, and copyright",Governance & Rights,0.62,"Cluster discusses how AI is reshaping creative work and education, the rapid adoption of AI tools (e.g., Adobe Firefly), and governance implications including copyright, regulation, and industry disruption.",Practice & Pedagogy,0.75,0.229040404040404,0.81,4,0.4355411931818181
15,91,"mordvintsev, neural, deep, deep dream, dream",Deep Dream and Neural Network Visualization,Technical Genealogy,0.9,"Discussion of Google's Deep Dream algorithm and neural network visualization techniques, focusing on how these systems generate psychedelic imagery and what they reveal about AI's internal representations. The cluster explores both the technical aspects of neural nets and their artistic applications.",Google Deep Dream Neural Network Visualization,Technical Genealogy,0.95,"This cluster focuses on Google's Deep Dream project by Alexander Mordvintsev, which visualized how neural networks process images by turning image recognition systems into generative art tools. The discussion centers on the technical mechanics of convolutional neural networks and their ability to create psychedelic, dream-like imagery.",DeepDream and neural image generation,Technical Genealogy,0.89,"Texts focus on Alexander Mordvintsev’s DeepDream and early techniques that turned image‑recognition neural nets into generative, hallucinatory image creators, discussing how these experiments reveal neural network behavior and enable new forms of AI art. The cluster links technical explanations of deep learning and convolutional nets with cultural and artistic responses to algorithmic image generation.",Deep Dream and Creative Neural Nets,Technical Genealogy,0.78,"This cluster focuses on neural networks, deep learning, and the Deep Dream project, describing how image-recognition systems were inverted to generate images and propel discussions about AI-driven art and creativity.",Technical Genealogy,1.0,0.3486772486772487,0.8800000000000001,4,0.5934179894179895
16,165,"know, art, really, yeah, artists",Artist Reflections on Technology,Practice & Pedagogy,0.85,"Conversational, informal discourse where artists and creative professionals discuss their experiences, perspectives, and evolving relationships with digital technology and new media forms. The cluster captures podcast-style discussions about creative process, community building, and the intersection of art, technology, and commerce.",Conversational Discussions on Art Technology Intersection,Practice & Pedagogy,0.85,"This cluster captures informal, conversational discussions about how artists work with and are inspired by technology, including topics like digital art, NFTs, and the relationship between artists and financing. The discourse is characterized by spoken language patterns from podcasts and panel discussions exploring the creative and economic dimensions of art-technology intersections.","Artists, Technology, and Markets","Institutions & Markets — industry economics, platform dynamics, market impact",0.88,"Conversations about how digital technologies (NFTs, metaverse, digital platforms) reshape artists' creative processes, community-building, and especially monetization and market relationships. Many excerpts are informal/podcast-style reflections on financing, authenticity, and how tech changes what and how art is sold.","AI Art, Technology, and Market Dynamics",Institutions & Markets,0.78,"Discourse at the intersection of art, AI/tech, and market/institutional frameworks, focusing on how digital technologies (NFTs, metaverse, exchanges) shape value, provenance, and financialization of creative work.",Practice & Pedagogy,0.5,0.0833333333333333,0.8400000000000001,4,0.34125
17,120,"fi, prompts",Artist-Centered AI Design & Ethics,Philosophy of Creativity,0.85,"Explores how AI should be designed and implemented to support rather than exploit artists, focusing on desirable AI features that preserve artistic creativity, expressivity, and cultural positioning. Addresses ethical considerations around AI's impact on artistic practice and the need for artist-centered approaches to AI development.",Artist-Centered AI Design and Values,Philosophy of Creativity,0.85,"This cluster focuses on developing AI systems that prioritize artists' needs, creative autonomy, and artistic values rather than purely technical or commercial considerations. It emphasizes designing AI tools that support rather than replace human creativity and artistic expression.",AI and Artistic Creativity,Philosophy of Creativity,0.85,"Explores how AI reshapes artistic creativity, authorship, and the cultural positioning of digital art, including artist-centered design principles (e.g., transparency, fairness) and debates over human vs. machine expressivity and practice. Texts discuss impacts on artists, creativity, prompts/workflows, and desirable features of AI in artistic contexts.",Artist-centered AI and Creativity,Philosophy of Creativity,0.72,"Examines AI's role in artmaking, focusing on artistic identity, originality, and the desirability and risks of AI in creative practice, including questions of authorship and human-machine aesthetics.",Philosophy of Creativity,1.0,0.3708333333333333,0.8174999999999999,4,0.560328125
18,53,"midjourney, allen, mr",AI Art Authorship and Copyright Debates,Governance & Rights,0.85,"Examines the contentious issues surrounding AI-generated art, particularly focusing on copyright questions, human versus machine authorship, and high-profile cases like Jason Allen's Midjourney-created prize-winning artwork. Discusses legal frameworks, ethical concerns about AI training on scraped images, and artists' fears about their professional futures.",AI Art Copyright and Human Authorship Debates,Governance & Rights,0.92,"This cluster focuses on legal and ethical debates surrounding AI-generated art, particularly copyright issues, human authorship requirements, and controversies over AI tools like Midjourney that scrape existing images to create new works. The discussion centers on tensions between traditional artists and AI-generated art creators, exemplified by cases like Jason Allen's prize-winning AI artwork.",AI-generated art & copyright,Governance & Rights,0.92,"Debates over who owns and should be credited for AI-generated images, focusing on copyright, authorship (human vs machine), legal disputes (e.g., Midjourney, Jason Allen), and the role of scraped training data. Documents discuss regulatory exceptions, litigation, and ethical concerns about appropriation and attribution.",AI-generated art and copyright,Governance & Rights,0.82,"This cluster centers on AI-generated art and the legal/ethical questions it raises, especially authorship, copyright, and disputes involving generated works. It includes discussions of platforms (e.g., Midjourney), human collaboration, and debates about originality and plagiarism.",Governance & Rights,1.0,0.455489417989418,0.8775,4,0.6385959821428571
19,43,"ai art, generative, generative art, barrat, computer art",Generative Art History and Pioneers,Technical Genealogy,0.85,"Documents exploring the historical development of generative and computer art, featuring key pioneers like Frieder Nake, Robbie Barrat, and Mario Klingemann, while examining how AI art fits within the broader generative art tradition.",Generative Art History and Definition,Technical Genealogy,0.85,This cluster focuses on defining generative art as a distinct artistic practice and exploring its historical development from computer art pioneers like Frieder Nake to contemporary AI artists. The texts examine the relationship between traditional generative/computer art and newer AI-generated art forms.,Generative Art History & Practice,Practice & Pedagogy,0.83,"Cluster covers generative and AI art—its history, defining techniques, and key practitioners (e.g., Nake, Barrat, Klingemann)—while explaining how the algorithms and creative processes produce and are appreciated as art.",Generative AI Art and Artists,Philosophy of Creativity,0.66,"Clusters centers on AI-generated art and prominent artist-creators (Botto, Robbie Barrat, Frieder Nake, Klingemann, etc.), focusing on generative methods, artistic authorship, and the evolving role of humans in AI-powered art.",Technical Genealogy,0.5,0.4384920634920635,0.7975,4,0.4301990327380952
