cluster,cohort,rank,sim_to_centroid,article,year,media_type,word_count,text,original_index
7,core,5,0.9385884404182434,"Conversations | Technology: Expanding, or erasing, the art world?",2024,audio,250,images and stuff well that's also just the way people very naturally communicate now if you go to the other side and you embrace that so like you'll kind of corny gestures museums will try and present like warhol he was he was like instagram before instagram and that presents a question because it's like is that what he was doing is is that all he what he was doing and then in that case how do we view it now i think that the question the status of the artwork with the specific nature of the operation is like remains undefined is is loose and like kinda answering that question of what the speci,564
7,boundary,6,0.8861082196235657,"John Maeda: How art, technology and design inform creative leaders",2013,audio,250,"Tanya Cushman Reviewer. I have to say that I'm very glad to be here. I understand we have over 80 countries here, so that's a whole new paradigm for me to speak to all of these countries. In each country, I'm sure you have this thing called the Parent Teacher Conference. Do you know about the parent-teacher conference? Not the ones for your kids, but the one you had as a child, where your parents come to school and your teacher talks to your parents, and it's a little bit awkward. Well, I remember in third grade, I had this moment where my father, who never takes off from work, he's a classica",926
7,boundary,7,0.8890347480773926,"The Future Of Art Is Digital, with Trevor Jones, World Renowned Artist",2021,audio,250,saturday afternoon life class and ninety nine percent of the people who were coming to the class they weren't coming to become artists they were you know bankers lawyers doctors nurses who you know just generally who wanted to get away from the family for a couple hours or you know explore something different so i saw you know really how people could improve some had literally no artistic skills at all but they kept on coming back you know week after week month after you know some could come for years and they did learn so you can learn to become a better artist but i think with something like,1287
7,diverse,8,0.9195761680603027,“The Digital Future: How Can New Technology Move Art Forward?” | Talking Galleries New York 2022,2022,audio,250,get left behind in a shuffle that seems to favor the people with the most resources and the most talent and all that kind of stuff let's let me step in here for a second let's kind of drill down just to your personal experience like when you're dealing with this vr piece mhmm for instance and you know this is something that's gonna take years mhmm how does that impact the way that you present it to museums or dealers or decide whether or not you need to try to bring in collaborators or whatever else like what's the the kind of thought process that you have to contend with there so typically a ,1724
7,diverse,9,0.8999934196472168,THE FUTURE OF VISUAL ARTS with Thomas Girst ,2023,audio,250,"know, there's so many chief curators, so many women art historians. But when you look at the gatekeepers and the club of those that are running the biggest museums around the world, it is still mostly men. I'm running as a man the cultural engagement of the BMW crew. But at the same time, I think we are responsible for looking into a future that is, as I said, much more diverse and takes into account, you know, the global repercussions of what it is that we do and allow other discourses that will make all the more richer when it comes to our inner landscapes as well. so this is basically what ",1155
7,diverse,10,0.9159325361251831,THE FUTURE OF VISUAL ARTS with Thomas Girst ,2023,audio,250,"can paint today as great as, you know, the Renaissance painters painted four or five hundred years ago. But there's no longer the necessity of maybe doing that. Everything has their high time. But now you see a lot of young artists delving into technology. And that's something that we love to, you know, share with and have a dialogue with. Now, when it comes to technology and young artists, I always think that, you know, technology is not using the arts, but artists are using technology. So I was actually very happy to be working with the great artist Chao Fei, who is a Chinese artist who crea",1150
9,core,1,0.9596856832504272,The Unbearable Lightness of Being Online  Magazine  MoMA,2024,article,250,"artwork is also, kind of, tragic. The viewer can never—or rarely—experience it by themselves. So, if you really want to spend time with Vincent van Gogh’s _Postman_, it’s going to be tough. With digital work, you have this benefit of growing with it at home and then seeing the concert version. The busyness of the entrance of Mo MA andthe energy of that does feel close to the Internet—a place where everybody goes. I dothink that’s part of the feeling of New York. Rafaël Rozendaal Installation view of the exhibition _Light: Rafaël Rozendaal_ at Mo MA Screenshot of this article usingthe Abstract ",1514
9,core,2,0.9559482336044312,The Unbearable Lightness of Being Online  Magazine  MoMA,2024,article,250,"the thread that connects them all? RR: I see it all as play. When I encounter composition, it’s interesting for me to go very close to abstraction but just find the point where it’s not, and that’s like a game of chess: I made this move. What move can I make after that? PA: You once told me that, in your mind, modernism is the absence of narrative. RR: I’m interested in comics for the elements of reduction, not in their storytelling. We grow up with narratives, and it makes things easier to understand, but it also causes stress thinking, “If you’re okay, then there must be tragedy soon.” We’re",1508
9,core,3,0.9555438160896301,The Unbearable Lightness of Being Online  Magazine  MoMA,2024,article,250,"interview. He talked about that fear when the computer turns off and crashes and the screen goes black, and then the feeling of hope after dark. So, the darkness, and then, “Oh, my computer didn’t crash and something is happening.” They never were working in the art ecosystem. They were very commercial; they would go to a trade show, demoing the first screensavers. Everyone’s setting up their booth with printers and there’s this booth with screensavers, and people said, “That’s ridiculous. No one needs that.” And then, as time went on, people started crowding around and saying, “Oh, is it loop",1512
9,core,4,0.9547886848449707,The Unbearable Lightness of Being Online  Magazine  MoMA,2024,article,250,"started a website that would invite artists to do experiments. They were saying, “This is a new medium. It’s not television.” Artists like JODI were there. In art school, we had coding classes and it turned out to be quite accessible, and so that was the empowering feeling. They showed us what FTP [File Transfer Protocol] software is, and it was actually much more approachable than publishing a book or opening a gallery. Rozendaal at his studio Prudence Peiffer: Your website is a universal exhibition, but you’ve lived in so many different cities, including now New York. When did you move here?",1510
9,core,5,0.9542148113250732,The Unbearable Lightness of Being Online  Magazine  MoMA,2024,article,250,"moved to LA, and then I moved to Berlin, and then I moved to Paris, and then I spent time in Tokyo. And it was always the idea that my laptop is my studio, which now is a little different. But the whole mantra was this lightweight lifestyle. Rafaël Rozendaal standing with his work in the exhibition _Light: Rafaël Rozendaal_ PA: You consider lightweight as a positive quality. Some people would think that lightweight is derogatory, especially around art. RR: Well, words in the end are just words, and then a state of mind is something much deeper. I’m interested in the tension between finding the",1506
9,boundary,6,0.9242262244224548,The Unbearable Lightness of Being Online  Magazine  MoMA,2024,article,72,"a meditative quality, asking for a different kind of attention than most of the Internet? RR: Well, I always saw them as dead ends. The Internet is full of connections, and then you get to this road and you’re just stuck there. _This conversation has been edited for clarity and length._ > _Light: Rafaël Rozendaal_ is on view at Mo MA through spring 2025. Get the best of Magazine in your inbox.",1515
9,boundary,7,0.9390333294868469,The Unbearable Lightness of Being Online  Magazine  MoMA,2024,article,250,"everyone coming here was very empowering. My whole ethos of lightness was also that I only worked an hour a day. The first 10 years, I was very obsessed with this idea of the sort of Duchampian genius: you just sit and smoke a pipe, and once every two years, you’re like, “That’s it.” New York changed me, I started thinking, “I’m not working to then relax at the beach. The work is more interesting than the beach.” And I think that’s what New York taught me, and now I just work all the time but very pleasantly. PA: You went from Duchamp to Warhol. RR: Yeah. PP: New York will do that to you. PA: ",1511
17,core,1,0.9513775110244751,Toward an Artist-Centred AI,2024,paper,250,"exploitative incentives of the cognitive capitalism (Reckwitz, 2017).6. ARTISTICALLY DESIRABLE AIThe discourse about best practices for desirable AI frames adjectives such as transparency, fairness, inclusiveness, responsibility, sustainability, trustfulness, etc., which are claried and elaborated upon in the accompanying documentation or in the ensuing discussion. Following this approach, we draft a small set of artistically desirable values of AI taking into account basic requirements, challenges, and implications of contemporary artmaking. Although they reect certain principles, these value",1560
17,core,2,0.9510058164596558,Toward an Artist-Centred AI,2024,paper,250,"the context of artmaking. Within a range of the applied AI’s inuences on the artworld, our focus is on the impacts on artistic creativity, expressivity, and poetic identity and on the cultural positioning of art. To sketch the desirable features of AI in such contexts, it is useful to identify its potential risks and evidently negative, detrimental, limiting, or otherwise undesirable effects or implications.3. AI AS ART’S EXISTENTIAL CRISISAlthough it does not directly involve most professional artists, the AI’s “black-box” effect could be highly consequential for them in the long term. Regard",1552
17,core,3,0.9507073163986206,Toward an Artist-Centred AI,2024,paper,250,"its elaborationis the awareness of the uid and always potentially deceptive conceptualnature of its central terms: art, creativity, and intelligence, as well as the sociotechnical dynamics of AI. Intrinsically, art, creativity, and intelligence have no clear or consensual denitions and constantlyredene themselves. AI research, technological development, andapplications change quickly, often with sweeping consequences. They all contribute to the real-world complex systems of economy, technology, and society, which are inherently unpredictable (Tetlock and Gardner, 2015). Therefore, the paramete",1571
17,core,4,0.9480751752853394,THE VOICE OF THE ARTIST IN THE AGE OF THE ALGORITHM,2020,paper,250,artists with the financial resources and access to explore these new technologies? Do artists have any responsibility to resist or determine the limits of a scenario in which people increasingly long to escape an ever more tenuous physical reality by seeking the sanctuary of extended reality? What kind of accountability do artists have to users of the platforms as the creators of the works on which these platforms are built? It is important to weigh these questions and risks against the rewards regarding inclusivity and how extended reality provides opportunities for disabled and socially disa,1183
17,core,5,0.9479904174804688,THE VOICE OF THE ARTIST IN THE AGE OF THE ALGORITHM,2020,paper,250,"their livelihoods, the abrupt removal of this income stream has been devastating for many. The IEEE Ethically Aligned Design, Version 2 (EADv2) states that, “A/IS has the potential to dramatically impact and permanently alter the methods and tools by which artists earn their living.” For better or for worse, the same belief guides this paper. This paper identifies several significant ethical, social, political, and economic challenges presented by AI for the creative and technical communities and policymakers and standard-setting organizations; these challenges arise around these spheres: Purp",1162
17,boundary,6,0.8334516286849976,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",2017,article,73,"evade legal scrutiny. This certainly isn’t the first nightmare the FKC—founded by Kahlo’s niece and heir to her estate Isolda Pinedo Kahlo—have had, trying to shut down the unlicensed use of Kahlo’s image. Tussles with small-scale makers and artists creating Kahlo-inspired works and figurines in the artist’s likeness have historically led to settlements with the FKC, with some artists arguing that Kahlo herself would have supported “the craft of local artisans.” Verity Babbs",16
17,boundary,7,0.8488197922706604,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",2017,article,250,"the Belgian painter Leon De Vos, an image which she later would use as inspiration for her Self-Portrait with Jade Necklace in 1933. Madonna Wasn’t Allowed to Wear Kahlo’s Clothes, Said Museum Madonna wearing a black leather outfit and hat, speaking at the 2021 MTV Video Music Awards, showcasing her signature bold fashion style. Madonna speaks onstage during the 2021 MTV Video Music Awards. Photo: Jeff Kravitz/MTV VMAs 2021/Getty Images for MTV/Viacom CBS. Madonna loves Frida Kahlo. She’s an avid collector of her work, her favourite being My Birth (1932) which she told Vanity Fair is a litmus ",12
17,diverse,8,0.9252839088439941,Research on Digital Art Creation Based on Artificial Intelligence,2016,paper,250,"and contempt for power. The sense of the elite in the atomic art has lost the market here. The “silent majority” in the atomic art system has become the real master of the digital art system. Through the digital art system, we can get the basic transformation. Therefore, the digital art can promote the natural return of human nature, is a kind of humanistic art. Characteristics of digital art: Commodity: commodity is the digital art design of the labor product, and it’s used for the exchange of labor products, which is the common characteristic of all large machinery mass production of cultura",1042
17,diverse,9,0.9193724393844604,Research on Digital Art Creation Based on Artificial Intelligence,2016,paper,250,"discovery, filtering and selection of perceptual materials, the creation of the subject is actively recalled and meditation, the use of perceptual representation to expand the rich creative association and imagination. Through the art of generalization and integration, the construction of aesthetic image in the minds of the system. Creation is a kind of complicated mental work, he relies on more abstract thinking, and give up concrete perceptual image, it is the result of the subject to grasp the emotion and logic from the height of reason. Creation is a kind of ability and experience, which i",1048
17,diverse,10,0.930379331111908,AI Art: Machine Visions and Warped Dreams,2020,paper,250,"specific socio-historical contexts. Questions of originality and of the genius of an individual producer are hence framed by a study of the wider context that produces conditions for the emergence of a particular art form – and that produces particular audiences which can identify, interpret and engage with that art form. These questions are therefore framed through what Michel Foucault has called an ‘author function’ (1992, 306): a wider discursive arrangement that stabilises into what a given cultural moment perceives as an ‘author’ or ‘artist’.3 Aesthetic issues are still under consideratio",45
