theme,text,probe_text,row_id,article_name,sim_to_centroid,__text,F_openai_labels,F_anthropic_labels,F_openai_match,F_anthropic_match,F_openai_n_labels,F_anthropic_n_labels
compensation,"If technology backed art is what gains (or is made to gain) a higher momentum among the masses, this will gravely disadvantage some artists.","If technology backed art is what gains (or is made to gain) a higher momentum among the masses, this will gravely disadvantage some artists.",1178,THE VOICE OF THE ARTIST IN THE AGE OF THE ALGORITHM,0.88669455,"If technology backed art is what gains (or is made to gain) a higher momentum among the masses, this will gravely disadvantage some artists.","[""threat""]","[""threat""]",False,False,1,1
compensation,"At that point, we will have to decide what type of protection, if any, we should give to emergent works created by intelligent algorithms with little or no human intervention.","At that point, we will have to decide what type of protection, if any, we should give to emergent works created by intelligent algorithms with little or no human intervention.",1118,Should robot artists be given copyright protection,0.8778024,"At that point, we will have to decide what type of protection, if any, we should give to emergent works created by intelligent algorithms with little or no human intervention.","[""ownership""]","[""ownership""]",False,False,1,1
compensation,"to develop systems for the entertainment, arts, and cultural industries that allow artists to understand better and operate the AI systems with which they work?","to develop systems for the entertainment, arts, and cultural industries that allow artists to understand better and operate the AI systems with which they work?",1168,THE VOICE OF THE ARTIST IN THE AGE OF THE ALGORITHM,0.8703656,"to develop systems for the entertainment, arts, and cultural industries that allow artists to understand better and operate the AI systems with which they work?","[""utility"", ""transparency""]","[""transparency"", ""utility""]",False,False,2,2
compensation,"Because generative AI technology is new, you know, we've had to have ethical conversations about what compensation looks like for the artists that are feeding the models that allow you to do what you do.","Because generative AI technology is new, you know, we've had to have ethical conversations about what compensation looks like for the artists that are feeding the models that allow you to do what you do.",838,How will AI impact Art? Interview with Artist Jah Reynolds,0.9020636,"Because generative AI technology is new, you know, we've had to have ethical conversations about what compensation looks like for the artists that are feeding the models that allow you to do what you do.","[""compensation""]","[""compensation""]",True,True,1,1
compensation,"For instance, France and Canada have funded research into AI art and hosted AI art residencies, integrating it into cultural policy.","For instance, France and Canada have funded research into AI art and hosted AI art residencies, integrating it into cultural policy.",1582,Unpacking AI’s influence in contemporary Art,0.8772281,"For instance, France and Canada have funded research into AI art and hosted AI art residencies, integrating it into cultural policy.","[""utility""]","[""utility""]",False,False,1,1
compensation,"Therefore, our second recommendation is that artists and arts-affiliated entities contain and collectively exert power to protect against the misaligned interests and priorities of other entities, including companies and organizations motivated by retaining revenue and harvesting data without meaningful consent.","Therefore, our second recommendation is that artists and arts-affiliated entities contain and collectively exert power to protect against the misaligned interests and priorities of other entities, including companies and organizations motivated by retaining revenue and harvesting data without meaningful consent.",1182,THE VOICE OF THE ARTIST IN THE AGE OF THE ALGORITHM,0.8739626,"Therefore, our second recommendation is that artists and arts-affiliated entities contain and collectively exert power to protect against the misaligned interests and priorities of other entities, including companies and organizations motivated by retaining revenue and harvesting data without meaningful consent.","[""threat"", ""transparency"", ""compensation""]","[""threat"", ""transparency"", ""compensation""]",True,True,3,3
compensation,"As we are claiming the role of artists in fostering a social debate around AI, we acknowledge that these debates are not identical around the world and that there are","As we are claiming the role of artists in fostering a social debate around AI, we acknowledge that these debates are not identical around the world and that there are",1165,THE VOICE OF THE ARTIST IN THE AGE OF THE ALGORITHM,0.8950962,"As we are claiming the role of artists in fostering a social debate around AI, we acknowledge that these debates are not identical around the world and that there are","[""utility""]","[""threat"", ""utility""]",False,False,1,2
compensation,"Despite the promise and opportunity that AI offers creatively, artists face economic, legal, creative, and social pressures regarding authorship and copyrights, unequal access to new technologies and opportunities, misaligned goals from those of the corporate platforms delivering their artistic creations, and more.","Despite the promise and opportunity that AI offers creatively, artists face economic, legal, creative, and social pressures regarding authorship and copyrights, unequal access to new technologies and opportunities, misaligned goals from those of the corporate platforms delivering their artistic creations, and more.",1181,THE VOICE OF THE ARTIST IN THE AGE OF THE ALGORITHM,0.8968087,"Despite the promise and opportunity that AI offers creatively, artists face economic, legal, creative, and social pressures regarding authorship and copyrights, unequal access to new technologies and opportunities, misaligned goals from those of the corporate platforms delivering their artistic creations, and more.","[""threat"", ""utility"", ""ownership""]","[""threat"", ""utility"", ""ownership""]",False,False,3,3
compensation,"Throughout the process of writing this book, I had the opportunity and privilege to talk with many artists, musicians, and composers about their work with machine learning as an artistic practice.","Throughout the process of writing this book, I had the opportunity and privilege to talk with many artists, musicians, and composers about their work with machine learning as an artistic practice.",290,Art in the Age of Machine Learning,0.87126553,"Throughout the process of writing this book, I had the opportunity and privilege to talk with many artists, musicians, and composers about their work with machine learning as an artistic practice.","[""utility""]","[""utility""]",False,False,1,1
compensation,That protects human creatives from unfair use of their works without stifling technological innovations which I think will be a mistake.,That protects human creatives from unfair use of their works without stifling technological innovations which I think will be a mistake.,1594,Unpacking AI’s influence in contemporary Art,0.873606,That protects human creatives from unfair use of their works without stifling technological innovations which I think will be a mistake.,"[""threat"", ""utility"", ""ownership""]","[""threat"", ""utility"", ""transparency"", ""compensation""]",False,True,3,4
compensation,"Following this approach, we draft a small set of artistically desirable values of AI taking into account basic requirements, challenges, and implications of contemporary artmaking.","Following this approach, we draft a small set of artistically desirable values of AI taking into account basic requirements, challenges, and implications of contemporary artmaking.",1560,Toward an Artist-Centred AI,0.88675666,"Following this approach, we draft a small set of artistically desirable values of AI taking into account basic requirements, challenges, and implications of contemporary artmaking.","[""utility""]","[""utility""]",False,False,1,1
compensation,Models that automate creative work by training off of creative work need to be built on ethical grounds that honor the rights of content creators and that allow them to opt into systems that they're interested in rather than scramble to opt out.,Models that automate creative work by training off of creative work need to be built on ethical grounds that honor the rights of content creators and that allow them to opt into systems that they're interested in rather than scramble to opt out.,1536,The problem with AI-generated art ｜ Steven Zapata ｜ TEDxBerkeley.mp3,0.8847325,Models that automate creative work by training off of creative work need to be built on ethical grounds that honor the rights of content creators and that allow them to opt into systems that they're interested in rather than scramble to opt out.,"[""transparency"", ""ownership"", ""threat""]","[""transparency"", ""ownership"", ""compensation""]",False,True,3,3
compensation,"Artists working with AI must navigate this patchwork of rules, being mindful of copyright if they incorporate AI imagery, and watching how contracts are worded when selling AI aided art.","Artists working with AI must navigate this patchwork of rules, being mindful of copyright if they incorporate AI imagery, and watching how contracts are worded when selling AI aided art.",1594,Unpacking AI’s influence in contemporary Art,0.90941185,"Artists working with AI must navigate this patchwork of rules, being mindful of copyright if they incorporate AI imagery, and watching how contracts are worded when selling AI aided art.","[""ownership""]","[""ownership""]",False,False,1,1
compensation,"the Hanson Robotics’ android, Sophia, would auction NFT artworks for €688,000 and its programmed curiosity would be contained within the context of the Non-Fungible Token debate as opposed to issues related to non-human creativity (Fung).","the Hanson Robotics’ android, Sophia, would auction NFT artworks for €688,000 and its programmed curiosity would be contained within the context of the Non-Fungible Token debate as opposed to issues related to non-human creativity (Fung).",1160,THE VOICE OF THE ARTIST IN THE AGE OF THE ALGORITHM,0.86682594,"the Hanson Robotics’ android, Sophia, would auction NFT artworks for €688,000 and its programmed curiosity would be contained within the context of the Non-Fungible Token debate as opposed to issues related to non-human creativity (Fung).","[""ownership""]","[""ownership""]",False,False,1,1
compensation,AI technologies are opening new revenue streams and creative possibilities within the entertainment sector and several companies are proving it can be done ethically and collaboratively.,AI technologies are opening new revenue streams and creative possibilities within the entertainment sector and several companies are proving it can be done ethically and collaboratively.,791,"How AI can empower, not replace, human creativity",0.86851627,AI technologies are opening new revenue streams and creative possibilities within the entertainment sector and several companies are proving it can be done ethically and collaboratively.,"[""utility""]","[""utility"", ""compensation""]",False,True,1,2
compensation,That's why with the Arts Residency we have an open call out right now for an artist that wants to go deeper into the biases of artificial intelligence during the fall of 2017.,That's why with the Arts Residency we have an open call out right now for an artist that wants to go deeper into the biases of artificial intelligence during the fall of 2017.,805,How art & technology predict the future,0.8705817,That's why with the Arts Residency we have an open call out right now for an artist that wants to go deeper into the biases of artificial intelligence during the fall of 2017.,"[""utility""]","[""transparency""]",False,False,1,1
compensation,The prominent cases of AI art deals mentioned above fall into this category.,The prominent cases of AI art deals mentioned above fall into this category.,1487,"The Past, Present, and Future of AI Art",0.8947518,The prominent cases of AI art deals mentioned above fall into this category.,"[""ownership""]","[""compensation""]",False,True,1,1
compensation,"Whether actual AI works will be in the fair is not yet known, Elphinstone said.","Whether actual AI works will be in the fair is not yet known, Elphinstone said.",812,How much AI is too much in art?,0.87628657,"Whether actual AI works will be in the fair is not yet known, Elphinstone said.","[""ownership""]","[""ownership""]",False,False,1,1
compensation,"All these ethical issues combine with AI artists’ intrinsic need for endorsement by the tech sector, academia, and art market.","All these ethical issues combine with AI artists’ intrinsic need for endorsement by the tech sector, academia, and art market.",1558,Toward an Artist-Centred AI,0.9091438,"All these ethical issues combine with AI artists’ intrinsic need for endorsement by the tech sector, academia, and art market.","[""threat"", ""utility""]","[""threat""]",False,False,2,1
compensation,"role of artists in fostering a social debate around AI, we acknowledge that these debates are not identical around the world and that there are disparities in global access to technology.","role of artists in fostering a social debate around AI, we acknowledge that these debates are not identical around the world and that there are disparities in global access to technology.",1166,THE VOICE OF THE ARTIST IN THE AGE OF THE ALGORITHM,0.9025511,"role of artists in fostering a social debate around AI, we acknowledge that these debates are not identical around the world and that there are disparities in global access to technology.","[""utility""]","[""threat""]",False,False,1,1
